"CISA","Philadelphia","2020-11-13T01:28:23Z",32,56388
"Christen","Philadelphia","2020-11-13T01:28:23Z",33,0
"Corey Davis","Philadelphia","2020-11-13T01:28:23Z",34,0
"PlayStation","Philadelphia","2020-11-13T01:28:23Z",35,339580
"Matthew Mitchell","Philadelphia","2020-11-13T01:28:23Z",36,0
"Colorado State","Philadelphia","2020-11-13T01:28:23Z",37,0
"Demar","Philadelphia","2020-11-13T01:28:23Z",38,16893
"Dianne","Philadelphia","2020-11-13T01:28:23Z",39,0
"The PS5","Philadelphia","2020-11-13T01:28:23Z",40,330026
"Cleo","Philadelphia","2020-11-13T01:28:23Z",41,18919
"9muses","Philadelphia","2020-11-13T01:28:23Z",42,0
"Bump","Philadelphia","2020-11-13T01:28:23Z",43,42629
"Lake Norman","Philadelphia","2020-11-13T01:28:23Z",44,0
"US Senator","Philadelphia","2020-11-13T01:28:23Z",45,17035
"Mayorkun","Philadelphia","2020-11-13T01:28:23Z",46,24027
"Future and Uzi","Philadelphia","2020-11-13T01:28:23Z",47,0
"Unus Annus","Philadelphia","2020-11-13T01:28:23Z",48,20183
"Press and Heath","Philadelphia","2020-11-13T01:28:23Z",49,0
"Astro's Playroom","Philadelphia","2020-11-13T01:28:23Z",50,0
"#RHOSLC","Philadelphia","2020-11-12T05:24:33Z",1,18450
"#ChicagoPD","Philadelphia","2020-11-12T05:24:33Z",2,10147
"#YouTubeDOWN","Philadelphia","2020-11-12T05:24:33Z",3,248817
"#TGTATBO","Philadelphia","2020-11-12T05:24:33Z",4,11138
"#CMAawards","Philadelphia","2020-11-12T05:24:33Z",5,43527
"James Harden","Philadelphia","2020-11-12T05:24:33Z",6,19282
"MACtion","Philadelphia","2020-11-12T05:24:33Z",7,0
"Nestor","Philadelphia","2020-11-12T05:24:33Z",8,25859
"minghao","Philadelphia","2020-11-12T05:24:33Z",9,25063
"Best Buy","Philadelphia","2020-11-12T05:24:33Z",10,18946
"Ron Klain","Philadelphia","2020-11-12T05:24:33Z",11,66587
"Russ","Philadelphia","2020-11-12T05:24:33Z",12,35654
"Journey Brown","Philadelphia","2020-11-12T05:24:33Z",13,0
"Shaq","Philadelphia","2020-11-12T05:24:33Z",14,0
"Mississippi","Philadelphia","2020-11-12T05:24:33Z",15,46849
"Chris Brown","Philadelphia","2020-11-12T05:24:33Z",16,19278
"Karl Rove","Philadelphia","2020-11-12T05:24:33Z",17,19639
"Westbrook","Philadelphia","2020-11-12T05:24:33Z",18,63249
"Eric Church","Philadelphia","2020-11-12T05:24:33Z",19,0
"LaVar Burton","Philadelphia","2020-11-12T05:24:33Z",20,0
"Toobin","Philadelphia","2020-11-12T05:24:33Z",21,33048
"Chief of Staff","Philadelphia","2020-11-12T05:24:33Z",22,139710
"Charlie Pride","Philadelphia","2020-11-12T05:24:33Z",23,0
"CMAs","Philadelphia","2020-11-12T05:24:33Z",24,0
"GameStop","Philadelphia","2020-11-12T05:24:33Z",25,15536
"Maren Morris","Philadelphia","2020-11-12T05:24:33Z",26,0
"Houston Rockets","Philadelphia","2020-11-12T05:24:33Z",27,20266
"Holy Toledo","Philadelphia","2020-11-12T05:24:33Z",28,0
"Cy Young","Philadelphia","2020-11-12T05:24:33Z",29,28398
"W. Michigan","Philadelphia","2020-11-12T05:24:33Z",30,15080
"Ronald Klain","Philadelphia","2020-11-12T05:24:33Z",31,0
"SNKRS","Philadelphia","2020-11-12T05:24:33Z",32,11219
"Mason McHorse","Philadelphia","2020-11-12T05:24:33Z",33,0
"Happy Founders","Philadelphia","2020-11-12T05:24:33Z",34,0
"Clint Black","Philadelphia","2020-11-12T05:24:33Z",35,0
"Best Jeanist","Philadelphia","2020-11-12T05:24:33Z",36,0
"Austin Rivers","Philadelphia","2020-11-12T05:24:33Z",37,0
"Male Vocalist of the Year","Philadelphia","2020-11-12T05:24:33Z",38,0
"#AEWDynamite","Philadelphia","2020-11-12T05:24:33Z",39,34481
"#RHOC","Philadelphia","2020-11-12T05:24:33Z",40,0
"#TheMaskedSinger","Philadelphia","2020-11-12T05:24:33Z",41,10076
"#WWENXT","Philadelphia","2020-11-12T05:24:33Z",42,17671
"#TrumpIsPathetic","Philadelphia","2020-11-12T05:24:33Z",43,20891
"#WeAre","Philadelphia","2020-11-12T05:24:33Z",44,0
"#SistasOnBET","Philadelphia","2020-11-12T05:24:33Z",45,0
"#WWHL","Philadelphia","2020-11-12T05:24:33Z",46,0
"#WhyImOnTheList","Philadelphia","2020-11-12T05:24:33Z",47,0
"#bnha291","Philadelphia","2020-11-12T05:24:33Z",48,0
"#SkoolLuvAffair","Philadelphia","2020-11-12T05:24:33Z",49,44176
"#wilburinabath","Philadelphia","2020-11-12T05:24:33Z",50,0
"#YouTubeDOWN","Philadelphia","2020-11-12T01:55:15Z",1,223799
"Harden","Philadelphia","2020-11-12T01:55:15Z",2,42520
"Westbrook","Philadelphia","2020-11-12T01:55:15Z",3,48471
"Russ","Philadelphia","2020-11-12T01:55:15Z",4,28335
"Alaska","Philadelphia","2020-11-12T01:55:15Z",5,207463
"#AEWDynamite","Philadelphia","2020-11-12T01:55:15Z",6,17441
"#TheMaskedSinger","Philadelphia","2020-11-12T01:55:15Z",7,0
